('indexing and abstracting service', 'chemical abstracts', {'weight': 0.6})
('indexing and abstracting service', 'academic journal', {'weight': 0.6})
('indexing and abstracting service', 'international standard book number', {'weight': 0.6})
('indexing and abstracting service', 'patent', {'weight': 0.6})
('indexing and abstracting service', 'bibliographic databases', {'weight': 0.5})
('indexing and abstracting service', 'book', {'weight': 0.6})
('indexing and abstracting service', 'digital library', {'weight': 0.6})
('indexing and abstracting service', 'institutional repository', {'weight': 0.6})
('indexing and abstracting service', 'index term', {'weight': 0.6})
('indexing and abstracting service', 'list of academic databases and search engines', {'weight': 0.6})
('indexing and abstracting service', 'document-oriented database', {'weight': 0.6})
('indexing and abstracting service', 'bibliographic record', {'weight': 0.6})
('indexing and abstracting service', 'citation index', {'weight': 0.6})
('indexing and abstracting service', 'national library of medicine', {'weight': 0.6})
('indexing and abstracting service', 'national aeronautics and space administration', {'weight': 0.6})
('indexing and abstracting service', 'academic discipline', {'weight': 0.6})
('indexing and abstracting service', 'entrez', {'weight': 0.6})
('indexing and abstracting service', 'bibliographic index', {'weight': 0.6})
('indexing and abstracting service', 'database', {'weight': 0.6})
('indexing and abstracting service', 'library catalog', {'weight': 0.6})
('indexing and abstracting service', 'index medicus', {'weight': 0.6})
('indexing and abstracting service', 'indexing and abstracting service', {'weight': 1})
('indexing and abstracting service', 'abstract (summary)', {'weight': 0.6})
('indexing and abstracting service', 'proceedings', {'weight': 0.6})
('indexing and abstracting service', 'search engine', {'weight': 0.6})
('indexing and abstracting service', 'newspaper', {'weight': 0.6})
('indexing and abstracting service', 'monograph', {'weight': 0.6})
('indexing and abstracting service', 'full text database', {'weight': 0.6})
('academic journal', 'arxiv', {'weight': 0.7})
('academic journal', 'national library of medicine', {'weight': 0.6})
('academic journal', 'publish or perish', {'weight': 0.7})
('academic journal', 'journal ranking', {'weight': 0.7})
('academic journal', 'online public access catalog', {'weight': 0.6})
('academic journal', 'healthcare journal', {'weight': 0.7})
('academic journal', 'chemical abstracts', {'weight': 0.6})
('academic journal', 'academic writing', {'weight': 0.7})
('academic journal', 'technical communication', {'weight': 0.5})
('academic journal', 'academic journal', {'weight': 1})
('academic journal', 'international standard book number', {'weight': 0.6})
('academic journal', 'patent', {'weight': 0.6})
('academic journal', 'imrad', {'weight': 0.7})
('academic journal', 'book', {'weight': 0.6})
('academic journal', 'digital library', {'weight': 0.6})
('academic journal', 'academic publishing', {'weight': 0.7})
('academic journal', 'peer review', {'weight': 0.5})
('academic journal', 'list of academic journals', {'weight': 0.7})
('academic journal', 'index term', {'weight': 0.6})
('academic journal', 'journal citation reports', {'weight': 0.7})
('academic journal', 'list of academic databases and search engines', {'weight': 0.7})
('academic journal', 'document-oriented database', {'weight': 0.6})
('academic journal', 'bibliographic record', {'weight': 0.6})
('academic journal', 'citation index', {'weight': 0.6})
('academic journal', 'reference management software', {'weight': 0.6})
('academic journal', 'scientific journal', {'weight': 0.7})
('academic journal', 'national aeronautics and space administration', {'weight': 0.6})
('academic journal', 'academic discipline', {'weight': 0.6})
('academic journal', 'entrez', {'weight': 0.6})
('academic journal', 'bibliographic index', {'weight': 0.6})
('academic journal', 'academic authorship', {'weight': 0.7})
('academic journal', 'academic library', {'weight': 0.7})
('academic journal', 'institutional repository', {'weight': 0.6})
('academic journal', 'database', {'weight': 0.6})
('academic journal', 'library catalog', {'weight': 0.6})
('academic journal', 'index medicus', {'weight': 0.6})
('academic journal', 'indexing and abstracting service', {'weight': 0.6})
('academic journal', 'abstract (summary)', {'weight': 0.6})
('academic journal', 'proceedings', {'weight': 0.6})
('academic journal', 'academic journals', {'weight': 0.5})
('academic journal', 'search engine', {'weight': 0.6})
('academic journal', 'newspaper', {'weight': 0.6})
('academic journal', 'monograph', {'weight': 0.6})
('academic journal', 'full text database', {'weight': 0.6})
('bibliographic databases', 'national library of medicine', {'weight': 0.6})
('bibliographic databases', 'online public access catalog', {'weight': 0.6})
('bibliographic databases', 'chemical abstracts', {'weight': 0.6})
('bibliographic databases', 'academic journal', {'weight': 0.6})
