('online databases', 'metadata', {'weight': 0.6})
('online databases', 'social information processing', {'weight': 0.5})
('online databases', 'dynix (software)', {'weight': 0.6})
('online databases', 'list of academic databases and search engines', {'weight': 0.7})
('online databases', 'lists of websites', {'weight': 0.5})
('online databases', 'telnet', {'weight': 0.6})
('online databases', 'list of neuroscience databases', {'weight': 0.7})
('online databases', 'digital object identifier', {'weight': 0.6})
('online databases', 'amazon.com', {'weight': 0.6})
('online databases', 'dspace', {'weight': 0.6})
('online databases', 'medline', {'weight': 0.6})
('online databases', 'bibliographic database', {'weight': 0.6})
('online databases', 'born-digital', {'weight': 0.6})
('online databases', 'list of biodiversity databases', {'weight': 0.7})
('online databases', 'library catalog', {'weight': 0.6})
('online databases', 'copac', {'weight': 0.6})
('online databases', 'faceted search', {'weight': 0.6})
('online databases', 'integrated library system', {'weight': 0.6})
('online databases', 'ohio state university', {'weight': 0.6})
('metadata', 'online computer library center', {'weight': 0.6})
('metadata', 'google', {'weight': 0.6})
('metadata', 'dallas public library', {'weight': 0.6})
('metadata', 'card catalogs', {'weight': 0.6})
('metadata', 'library', {'weight': 0.6})
('metadata', 'sgml', {'weight': 0.7})
('metadata', 'suncat', {'weight': 0.6})
('metadata', 'business intelligence', {'weight': 0.5})
('metadata', 'online database', {'weight': 0.6})
('metadata', 'computer terminal', {'weight': 0.6})
('metadata', 'digital commons', {'weight': 0.6})
('metadata', 'library computer system', {'weight': 0.6})
('metadata', 'metadata registry', {'weight': 0.7})
('metadata', 'psycinfo', {'weight': 0.6})
('metadata', 'eric', {'weight': 0.6})
('metadata', 'geoms \xe2\x80\x93 generic earth observation metadata standard', {'weight': 0.7})
('metadata', 'paratext', {'weight': 0.7})
('metadata', 'classification scheme', {'weight': 0.7})
('metadata', 'technical communication', {'weight': 0.5})
('metadata', 'metadata facility for java', {'weight': 0.7})
('metadata', 'vocabulary onesource', {'weight': 0.7})
('metadata', 'list of next-generation library catalogs', {'weight': 0.6})
('metadata', 'multicam (lsm)', {'weight': 0.7})
('metadata', 'consortium', {'weight': 0.6})
('metadata', 'interlibrary loan', {'weight': 0.6})
('metadata', 'folksonomy', {'weight': 0.7})
('metadata', 'worldcat', {'weight': 0.6})
